comment,label,language
Permi musulod on time.,positive,cebuano
Musabot permi sa mga students. Keep it up miss,positive,cebuano
dili stricta sa mga students. Thank you miss,positive,cebuano
Dako muhatag ug grado,positive,cebuano
kugihan mutudlo sa mga students. Keep it up miss Baluarte,positive,cebuano
Always enter the class on time,positive,english
Understands her students. Keep it up,positive,english
She is not a strict teacher to us. Thank you miss,positive,english
She is a kind teacher and she make sure that her students understands the lesson,positive,english
She is good in teaching and a master of her subject,positive,english
ambot lang,neutral,cebuano
wa koy ma say aning maestraha,neutral,cebuano
Ok,neutral,cebuano
k,neutral,cebuano
ambot,neutral,cebuano
yes,neutral,english
okay,positive,english
idk,neutral,english
???,neutral,english
"dili kahibaw mutudlo, mura ug di kahibaw sa iyang subject",negative,cebuano
"tapulan pagkamaestra, sige lag hatag buhatonon unya walay klase2",negative,cebuano
magsige lag hatag ug buhatonon unya di magdiscuss,negative,cebuano
murag walay alam,negative,cebuano
Panagsa ra musulod sa klase,negative,cebuano
"She doesn't know how to teacher, she looks like she have no idea on her subject",negative,english
She seldom enter the class,negative,english
She only enters the class sometimes,negative,english
"Not a good teacher, she is not good in her subject",negative,english
She gives a lot of task without discussing them,negative,english
"but.an kaayo nga maestro, thank you sir",positive,cebuano
"dali ra ma approach, dili masuko",positive,cebuano
"kugihan kaayo mutudlo, keep it up sir",positive,cebuano
thank you sir,positive,cebuano
Good job,positive,cebuano
Kind and good teacher,positive,english
he always came into class to teach us. Thank you sir,positive,english
he give us high grades,positive,english
he is a approachable teacher,positive,english
he seldom absent,positive,english
Ok,neutral,cebuano
uwu,neutral,cebuano
hi,neutral,english
hello,neutral,english
hmmm,neutral,english
murag yabag magstorya usahay,negative,cebuano
walay klaro muhatag ug instructions,negative,cebuano
boring mutudlo hahahah,negative,cebuano
mutopic ug bastos usahay hahaha,negative,cebuano
magpatan.aw rag youtube sa klase usahay nya lag pajud,negative,cebuano
Gives us small grades,negative,english
He does not give clear instructions,negative,english
He does not discuss the lessons properly but instead only show us videos,negative,english
His lessons are sometime irrelevant,negative,english
"He is not a good teacher, he is boring to listen",negative,english
Maayo mutudlo,positive,cebuano
Stricta si miss but naa jud kay ma learn,positive,cebuano
stricta per makat.on jud ka,positive,cebuano
ganahan jud si miss makalearn iyang students,positive,cebuano
ganahan kaayo ko nimo miss bisag stricta kayka kay na force jud ko ug kat.on sa lessons hahaha,positive,cebuano
she is one of the great teacher in css,positive,english
you always make sure that your students understoon the lessons,positive,english
good job miss,positive,english
she is scary but she teaches the students well,positive,english
she is good in teaching especially in her lessons,positive,english
ambot,neutral,cebuano
not sure,neutral,cebuano
edi wow,positive,english
ulol,neutral,english
wala koy masulti hahahha,neutral,english
"sobraan ra kaayo ka kastricta miss, mahadlok nami haha",negative,cebuano
ma pressure ang student nimo miss,negative,cebuano
grabe kaayo ka makadala ug pressure sa students miss,negative,cebuano
sakit kaayo ka manulti miss,negative,cebuano
dili kahibaw musabot ug student if maglibog,negative,cebuano
You put so much pressure to us,negative,english
give us small grades,negative,english
doesn't give students another chance,negative,english
too strict,negative,english
scary teacher,negative,english
finds her student's weakness and helps them develop their skills in that particular field,positive,english
good at teaching and disciplines her students well,positive,english
knows what her lessons are all about,positive,english
very outgoing with her students,positive,english
interacts with students during discussion,positive,english
dili pasagdan ang wala pa kasabot,positive,cebuano
kasabot sa iyang discussion if naa mi clarifications,positive,cebuano
approachable ra og naa mi concerns,positive,cebuano
sayon ra sabton ang explanation sa iyang discussion,positive,cebuano
muhatag og simple alternatives para mapasayon ang lesson.,positive,cebuano
fine at teaching,neutral,english
no problems at all,neutral,english
I have no concerns to deal,neutral,english
just indifferent. No concerns at all,neutral,english
im cool with her as my teacher in this subject.,neutral,english
oks raman,neutral,cebuano
madala rag smile,neutral,cebuano
ge lang,neutral,cebuano
sakto ra mutudlo,neutral,cebuano
masabtan ra nay uban lisod,neutral,cebuano
ill tempered at most occasion,negative,english
very strict in every exam,negative,english
doesn't consider close to correct answers,negative,english
inconsiderate at most time,negative,english
sometimes doesn?t dismiss students on time,negative,english
maldita usahay,negative,cebuano
dili mu consider og uban answer,negative,cebuano
di masabtan mutudlo,negative,cebuano
paspas kaayo mudiscuss,negative,cebuano
taas kaayo muhatag og short quiz,negative,cebuano
Gives good remarks to students who strive,positive,english
Gives decent grades as long as you comply,positive,english
Not very demanding with requirements,positive,english
"Gives reasonable, not too hard questionnaires during exams",positive,english
Approachable when asked with concerns,positive,english
dili kaayo strict sa klase,positive,cebuano
ma approach ra og naa mi concern,positive,cebuano
dili kaayo grabe muhatag og buhatonon,positive,cebuano
mu consider og answers na close to correct,positive,cebuano
di ra kaayo bun.og muhatag og activities,positive,cebuano
I have no concerns with her teaching,neutral,english
no problems with her,neutral,english
just about right with her teaching strategy,neutral,english
not that bad,neutral,english
oks lang man,neutral,english
mada rag smile,neutral,cebuano
ok ra mutudlo,neutral,cebuano
ocakes lodicakes,neutral,cebuano
ambot sad,neutral,cebuano
ok ra man,neutral,cebuano
doesn't understand her lessons,negative,english
doesn't teach her students well but atleast she tries,negative,english
her discussions are so hard to understand,negative,english
gives tests that aren't discussed well.,negative,english
very incompetent as a teacher,negative,english
di kibaw mutudlo,negative,cebuano
way klaro mutudlo,negative,cebuano
wa kasabot sa iyang discussion,negative,cebuano
lisod sabton og mu discuss,negative,cebuano
sig salig sa notes og mag discuss,negative,cebuano
interactive with his students during discussion,positive,english
explains his discussions very well.,positive,english
knows his lessons very well,positive,english
always comes on time in his class,positive,english
very outgoing as a teacher,positive,english
maayo mutudlo,positive,cebuano
dili kaayo strikto,positive,cebuano
mu correct sa sayop sa among research,positive,cebuano
tarong mu explain,positive,cebuano
musulod on time sa iyang klase,positive,cebuano
he's fine as a teacher,neutral,english
no problems with his way of teaching so far,neutral,english
nothing really to say,neutral,english
not problems with him,neutral,english
okay,positive,english
mada rag smile,neutral,cebuano
ok ra mutudlo,neutral,cebuano
ocakes lodicakes,neutral,cebuano
ambot sad,neutral,cebuano
ok ra man,neutral,cebuano
not good at teaching,negative,english
doesn't dismiss us on time,negative,english
always absent,negative,english
not good at explaining,negative,english
very complex at discussing,negative,english
sig ka late,negative,cebuano
di masabtan usahay,negative,cebuano
way klaro mu discuss,negative,cebuano
di musud klase usahay,negative,cebuano
daghag pabuhat,negative,cebuano
very vigorous at teaching.,positive,english
very gregarious while discussing,positive,english
approachable when asked for clarifications,positive,english
considerate to close correct answers,positive,english
not very strict,positive,english
dako muhatag og grado,positive,cebuano
jamming na pagka maestro,positive,cebuano
dili strikto,positive,cebuano
maayo mu discuss,positive,cebuano
masabtan ra ang lessons,positive,cebuano
I have no problems with how he teaches us,neutral,english
just fine as an overall teacher,positive,english
I have no concerns,neutral,english
I have undecided remarks,neutral,english
"fair enough, I have no words",positive,english
ok ra na pagka maestro,neutral,cebuano
madala rag smile,neutral,cebuano
wala ra koy problema nya mutudlo,neutral,cebuano
cge lods,neutral,cebuano
wala na koy blema,neutral,cebuano
bad at discussion,negative,english
discussion is unclear,negative,english
not approachable,negative,english
keeps giving us reports to discuss without follow up discussion,negative,english
very complicated in discussing,negative,english
di kibaw mutudlo,negative,cebuano
way klaro mu discuss,negative,cebuano
dali2on pirmi ang klase,negative,cebuano
daghan pabuhat,negative,cebuano
way sudlanay klase,negative,cebuano
di mo tudlo,negative,cebuano
di mo discuss,negative,cebuano
tagsa ra mo tudlo,negative,cebuano
wa kasabot sa iya ge discuss,negative,cebuano
dili kabalo mo tudlo,negative,cebuano
lazy,negative,english
doesn't teach her student,negative,english
does not teach her student,negative,english
does not care about her student,negative,english
bad at teaching,negative,english
ok,positive,english
okay,positive,english
serious,neutral,english
fair,positive,english
no comment,neutral,english
ok ra nga maestra,neutral,cebuano
wala koy ma sturya,neutral,cebuano
okay ra na maestra,positive,cebuano
wala ra,neutral,cebuano
wa koy ma sturya,neutral,cebuano
good teacher,positive,english
good instructor,positive,english
helpful to her students,positive,english
very good teacher,positive,english
very good instructor,positive,english
maayo nga maestra,positive,cebuano
maayo mo tudlo,positive,cebuano
maayo mo tudlo nga maestra,positive,cebuano
mo sabot nga maestra,positive,cebuano
kabalo mo sabot nga maestra,positive,cebuano
taas ug garbo,negative,cebuano
strict nga maestra,negative,cebuano
dili mo adjust sa iyang students,negative,cebuano
dili maminaw sa iyang students,negative,cebuano
dili kabalo mo sabot,negative,cebuano
uninteresting teacher,negative,english
uninteresting instructor,negative,english
high ego,negative,english
strict teacher,negative,english
does not adjust to her student,negative,english
sakto ra nga maestra,neutral,cebuano
okay ra,positive,cebuano
wala koy ma sturya,neutral,cebuano
oks ra,neutral,cebuano
sakto sakto ra mo tudlo,neutral,cebuano
nothing,neutral,english
none,neutral,english
none so far,neutral,english
nothing to say,neutral,english
nothing to share,neutral,english
not bad,positive,english
the best instructor,positive,english
thank you miss god bless,positive,english
best teacher in ccs,positive,english
best instructor in css,positive,english
butan nga maestra,positive,cebuano
dali ra ka makasabot,positive,cebuano
mo hatag ug time sa student niya,positive,cebuano
buotan nga maestra,positive,cebuano
maayo mo explain,positive,cebuano
walay klaro mo tudlo,negative,cebuano
walay klaro mo hatag instructions,negative,cebuano
dili mo check sa activity,negative,cebuano
dili mo check sa assignment,negative,cebuano
gamay mo hatag grado,negative,cebuano
does not check assignments,negative,english
does not check activities,negative,english
does not give clear instructions,negative,english
does not give high grades,negative,english
does not teach well,negative,english
sakto ra nga mestro,neutral,cebuano
ok ra nga maestro,neutral,cebuano
wala ra,neutral,cebuano
natural ra mo tudlo,neutral,cebuano
sakto ra jud mo tudlo,neutral,cebuano
cannot really say much,neutral,english
nothing to comment,neutral,english
average teacher,neutral,english
average instructor,neutral,english
typical teacher,neutral,english
mo consider bisan late,positive,cebuano
butan nga maestro,positive,cebuano
butan nga instructor,positive,cebuano
salamat sir,positive,cebuano
responsable nga maestro,positive,cebuano
very considerate about deadlines,positive,english
great improvement,positive,english
thank you sir,positive,english
responsible teacher,positive,english
responsible instructor,positive,english
she gives good grade,positive,english
nindot muhatag ug grado,positive,cebuano
she is very approachable,positive,english
dali ra maduolan,positive,cebuano
she is very understanding,positive,english
masinabtanun na maestra,positive,cebuano
very good instructor to her students,positive,english
maayo nga maestra sa iyang mga estudyante,positive,cebuano
dagko muhatag ug grado,positive,cebuano
she's a nice teacher,positive,english
okay ra,positive,cebuano
sakto ra,neutral,cebuano
so fine,positive,english
serious type,neutral,english
so far nice,positive,english
no comment,neutral,english
wala ra,neutral,cebuano
chill,neutral,english
wakoy ma ingun,neutral,cebuano
okay ra man siya,positive,cebuano
di mo tudlo,negative,cebuano
bati motudlo,negative,cebuano
tagsa ra mag discuss,negative,cebuano
inactive,negative,english
she doesn't teach her students well,negative,english
di kamao mo explain,negative,cebuano
bati sige rag pa notes,negative,cebuano
not discussing,negative,english
not good in teaching,negative,english
not so much to teach,negative,english
but.an,positive,cebuano
very good teacher to her students,positive,english
mo discuss jud pirmi,positive,cebuano
considerate,positive,english
responsible instructor,positive,english
friendly teacher,positive,english
mutubag jud ug pangutan.on,positive,cebuano
he helps students regarding activities,positive,english
mutabang ug studyante nga nag-lisud,positive,english
salamat kaayo sir,positive,cebuano
fair instructor,positive,english
motudlo ra,neutral,cebuano
okay ra siya,neutral,cebuano
wakoy ika ingun,neutral,cebuano
fine teacher,positive,english
maayo raman,neutral,cebuano
formal,neutral,english
none,neutral,english
okay ra,neutral,cebuano
nothing,neutral,english
libug sabtun,negative,cebuano
way klaru mo hatag grado,negative,cebuano
doesn't give good grade,negative,english
bati siya motudlo,negative,cebuano
di ko ganahan kay way klaru,negative,english
not explicity give instructions,negative,english
always depend on google,negative,english
he provide confusing instructions,negative,english
way ayu siya ug bati,negative,cebuano
unclear teacher,negative,english
nindut motudlo,positive,cebuano
maayo motudlo,positive,cebuano
she discuss the lesson until you understand,positive,english
she is so good in programming,positive,english
she explained the discussion very well,positive,english
one of the best instructor in the ccs department,positive,english
she compliment me quite sometime when doing programming task and I'm flattered as a student who really not good in coding,positive,english
dali ra makasabut kung naa kay mga pangutana,positive,cebuano
maayo siya nga maestra,positive,cebuano
dagko muhatag grado,positive,cebuano
i have nothing to say,neutral,english
no comment,neutral,english
none so far,neutral,english
okay lang,neutral,cebuano
nice raman pud siya,neutral,cebuano
nothing,neutral,english
reasonable,neutral,english
sakto rasad,neutral,cebuano
wala koy ma comment,neutral,cebuano
maayo raman,neutral,cebuano
strikta kaayo,negative,cebuano
very strict,negative,english
inconsiderate,negative,english
not adjusting to her students,negative,english
cannot accept error,negative,english
grabi ug garbo,negative,cebuano
self-conceit,negative,english
maldita,negative,cebuano
di masinabtanon,negative,cebuano
mang down ug estudyante,negative,cebuano
she teach well until you understand.,positive,english
gives complement if you did well.,positive,english
listen to your opinions.,positive,english
gives good and high grade.,positive,english
strict and proud.,negative,english
kamao sa iyang expertise.,positive,cebuano
boutan nga maesta.,positive,cebuano
mo consider basta sakto imo idea.,positive,cebuano
jolly og maka jamming ra nmu.,positive,cebuano
maayo nga pagka maestra.,positive,cebuano
gives a lot of work activities.,negative,english
she has very high expectations of the students.,positive,english
Sometimes she never teach but gives a quiz.,negative,english
sometimes can't control emotions.,negative,english
her mood can affect the class.,negative,english
dali ra masuko basta dka maminaw sa discussions.,negative,cebuano
kahadlokan nga maestra.,negative,cebuano
mang look down.,negative,cebuano
dali ra samokan.,negative,cebuano
dika e treat og sakto basta di sya ganahan nimo.,negative,cebuano
ok.,positive,english
never mind.,neutral,english
fair.,positive,english
sure.,neutral,english
she's bad and also good.,neutral,english
ambot.,neutral,cebuano
wara koy ma sulti.,neutral,cebuano
cguro.,neutral,cebuano
seyoso.,neutral,cebuano
di ko sure.,neutral,cebuano
he teach well.,positive,english
gives complement if you did well.,positive,english
listen to your opinions.,positive,english
gives good grades.,positive,english
good and gentle,positive,english
kamao sa iyang expertise.,positive,cebuano
boutan nga maesta.,positive,cebuano
mo consider ra sa imo situations.,positive,cebuano
maka jamming ra nmu.,positive,cebuano
maayo nga pagka maestra.,positive,cebuano
gives a lot of work activities.,negative,english
has a high expectations in students.,positive,english
Sometimes she never teach but gives a quiz.,negative,english
lazy teacher.,negative,english
tagaan rakag link ikaw nay mo search.,negative,english
way pake og dmu maminaw.,negative,cebuano
basta lang naay matudlo.,negative,cebuano
mang criticize.,negative,cebuano
di mo discuss og maayo.,negative,cebuano
dali ra mahi ubos.,negative,cebuano
ok.,positive,english
nothing i can say.,neutral,english
fair enough.,positive,english
sure.,neutral,english
good but lazy.,negative,english
good nga diko ganahan.,neutral,cebuano
okay ra.,positive,cebuano
madara nga maestro.,neutral,cebuano
seyoso.,neutral,cebuano
di ko sure.,neutral,cebuano
she's a good teacher.,positive,english
gives complement.,positive,english
listen to your opinions.,positive,english
gives good grades.,positive,english
gentle teacher.,positive,english
smiley teacher.,positive,cebuano
boutan nga maesta.,positive,cebuano
dili ra pressure.,positive,cebuano
maka jamming ra nmu.,positive,cebuano
considerate nga pagka maestra.,positive,cebuano
doesn't teach well.,negative,english
has a high expectations in students.,positive,english
she doesn't understand her topic.,negative,english
her mind goes blank sometimes.,negative,english
di kamao mo discuss.,negative,english
way pake og dmu maminaw.,negative,cebuano
basta lang naay matudlo.,negative,cebuano
mag lisod og explain sa student about sa iya topic.,negative,cebuano
di mo discuss og maayo.,negative,cebuano
gahi pasabton.,negative,cebuano
dumb.,negative,english
nothing i can say.,neutral,english
fair enough.,neutral,english
sure.,neutral,english
good but lazy.,negative,english
good nga diko ganahan.,neutral,cebuano
okay ra.,neutral,cebuano
madara nga maestro.,neutral,cebuano
seryoso pero dili suited.,neutral,cebuano
di ko sure.,neutral,cebuano
gamay muhatag ug grado,negative,cebuano
kamao mutudlo,positive,cebuano
dili musulod on time,negative,cebuano
musulod on time,positive,cebuano
dili mo tudlo,negative,cebuano
way ayo nga maestro,negative,cebuano
sige lang ug absent,negative,cebuano
dili mo check sa activity,negative,cebuano
dili mo check sa assignment,negative,cebuano
does not follow schedule,negative,english
very lazy,negative,english
does not listen to his students,negative,english
does not explain the lessons well,negative,english
does not make his own resources,negative,english
sakto ra,neutral,cebuano
sakto ra gud,neutral,cebuano
normal ra,neutral,cebuano
dili nindot dili sad bati,neutral,cebuano
buotan pero tapulan,negative,cebuano
fair,positive,english
typical,neutral,english
good but lazy,negative,english
moderate,neutral,english
just right,neutral,english
dako kaayo mo hatag ug grado,positive,cebuano
mo dawat bisan late,positive,cebuano
dili boring nga maestro,positive,cebuano
dili stricto,positive,cebuano
friendly,positive,english
humorous,positive,english
funny,positive,english
entertaining,positive,english
not boring,positive,english
thankyou sir,positive,english
dili mo reply,negative,cebuano
dili considerate,negative,cebuano
dili mo basa og message,negative,cebuano
sige ug ka late,negative,cebuano
dili mo tabang,negative,cebuano
ignores message,negative,english
does not reply to my concern,negative,english
not considerate,negative,english
does not reply to my message,negative,english
always late,negative,english
wala ra koy comment,neutral,cebuano
wala ra koy ma sturya,neutral,cebuano
walay libog,neutral,cebuano
dili subra dili sad kuwang,neutral,cebuano
ambot,neutral,cebuano
i do not have a comment,neutral,english
nothing,neutral,english
nothing to share,neutral,english
nothing to comment,neutral,english
i do not have any concern,neutral,english
daghang salamat miss,positive,cebuano
salamat kaayo miss,positive,cebuano
responsable nga maestra,positive,cebuano
responsible,positive,cebuano
daghan kog nakatunan,positive,cebuano
thank you ms,positive,english
thanks miss,positive,english
i learned a lot,positive,english
approachable,positive,english
very responsible,positive,english
boring mo tudlo,negative,cebuano
way kinabuhi,negative,cebuano
laay paminawm,negative,cebuano
hinay og tingug,negative,cebuano
kalas ug data,negative,cebuano
monotonous,negative,english
tedious,negative,english
uninteresting,negative,english
not interactive,negative,english
not confident,negative,english
sakto ra mo hatag grado,neutral,cebuano
sakto ra gud,neutral,cebuano
sakto mo discuss,neutral,cebuano
kalma nga maestra,neutral,cebuano
kalma mo tudlo,neutral,cebuano
just right,neutral,english
average,neutral,english
moderate,neutral,english
tolerable,neutral,english
simple,neutral,english
dili strict,positive,cebuano
matinabangon,positive,cebuano
dali maduolan,positive,cebuano
grabe ka buotan,positive,cebuano
approachable nga maestra,positive,cebuano
not strict,positive,english
helpful,positive,english
approachable,positive,english
very kind,positive,english
very humble,positive,english
dili mo tudlo,negative,cebuano
dili mo tudlo sa iyahang students,negative,cebuano
dili klaro mo tudlo,negative,cebuano
pirme mo gawas sa klase,negative,cebuano
sige lang ug gawas sa room,negative,cebuano
does not teach,negative,english
does not know how to teach,negative,english
does not teach her students,negative,english
always go out,negative,english
always go out of the class,negative,english
madala dala ra,neutral,cebuano
madala ra ug smile,neutral,cebuano
masabtan ra,neutral,cebuano
ok ra jud,neutral,cebuano
oki,neutral,cebuano
k,neutral,english
unbiased,neutral,english
alright,positive,english
acceptable,positive,english
fine,positive,english
buotan pagka maestra,positive,cebuano
jamming nga maestra,positive,cebuano
kabalo mo sabot,positive,cebuano
di boring,positive,cebuano
positive nga maestra,positive,cebuano
friendly to her students,positive,english
very lively,positive,english
nice teacher,positive,english
amazing teacher,positive,english
enthusiastic,positive,english
very approachable instructor towards his students,positive,english
he is very nice and chill,positive,english
he doesn't pressure his students,positive,english
he satisfied his students when it comes to grades,positive,english
he is very friendly and jamming,positive,english
lami muhatag ug grado,positive,cebuano
but.an nga pag ka maestro,positive,cebuano
dili tihik muhatag ug grado basta mupass lang,positive,cebuano
musabut sa iyang mga estudyante kung di ka pass dayun,positive,cebuano
mutodlo sa studyante kung naglibug,positive,cebuano
chill,neutral,english
wala ray problema,neutral,cebuano
good,positive,english
waley ra,neutral,cebuano
none,neutral,english
di mutodlo sa iyang klasi,negative,cebuano
segi lang ug pareport,negative,cebuano
exam nga way tudlotudlo,negative,cebuano
daghan kaayog ipabuhat nga wa mi alamag,negative,cebuano
tagsa ra musod sa klasi,negative,cebuano
pressure his students,negative,english
sleepy in class,negative,english
always absent,negative,english
don't discuss,negative,english
make his students report instead of him,negative,english
very generous instructor,positive,english
she is very considerate teacher I've known,positive,english
she looks nice and approachable,positive,english
help her students in a positive way,positive,english
she is so creative,positive,english
but.an kaayo si miss,positive,cebuano
dali ra mo reply or mutubag kung naay pangutana,positive,cebuano
matinabangun sa iyang mga estudyante,positive,cebuano
musabot sa usa ka estudyante kung ngano wa kapass,positive,cebuano
mutodlo hantud makamao ang studyante sa gi discuss,positive,cebuano
keep it up,neutral,english
hahaha,neutral,english
ay nalang ta,neutral,cebuano
maayo ma'am,neutral,cebuano
murag wala,neutral,cebuano
segi lang pa tanaw bidyu,negative,cebuano
di kamao mo explain usahay,negative,cebuano
way klaru muhatag instruction sa lms,negative,cebuano
di muhatag ug sakto nga tubag pangutan.on,negative,cebuano
her class is so boring because sge always play youtube video,negative,english
she don't discuss,negative,english
i don't like her ways of teaching,negative,english
she doesn't explain further when she discuss a lesson,negative,english
she provide confusing instruction,negative,english
boring kaayu iya klasi,negative,cebuano
Very approachable and jamming instructor,positive,english
cool teacher because she gives time to students,positive,english
she gives a very satisfying grades,positive,english
she always give her students a short break after major exams,positive,english
i like the materials she used in our class,positive,english
ganahan ko ni miss kay mo tagad jud nimu ba,positive,cebuano
ganahan ko ni miss kay di kalimut sa iyang estudyante,positive,cebuano
"si miss kay kalma ra kaayo, di manghasul ug studyante",positive,cebuano
nindut siya kay musabay sa iyang estudyante,positive,cebuano
dagko mohatag ug grades si miss naa pajuy plus points,positive,cebuano
she nice,positive,english
chillin',neutral,english
kalma,neutral,cebuano
okay raman siya way problema,neutral,cebuano
okey keyooo,neutral,cebuano
bati segi lag pa answer,negative,cebuano
walay discussay,negative,cebuano
daghan pansweran,negative,cebuano
segi lag film showing,negative,cebuano
dili madoulan kung nay kinahanglan,negative,cebuano
sometimes she's out of nowhere,negative,english
i can't understand her discussion because she doesn't elaborate,negative,english
i don't like her because she is so timid,negative,english
she left us with a task that we don't know how to do it,negative,english
doesn't discuss any lesson,negative,english
very vigorous at teaching.,positive,english
very gregarious while discussing,positive,english
approachable when asked for clarifications,positive,english
considerate to close correct answers,positive,english
not very strict,positive,english
dako muhatag og grado,positive,cebuano
jamming na pagka maestro,positive,cebuano
dili strikto,positive,cebuano
maayo mu discuss,positive,cebuano
masabtan ra ang lessons,positive,cebuano
I have no problems with how he teaches us,neutral,english
just fine as an overall teacher,positive,english
I have no concerns,neutral,english
I have undecided remarks,neutral,english
"fair enough, I have no words",neutral,english
ok ra na pagka maestro,neutral,cebuano
madala rag smile,neutral,cebuano
wala ra koy problema nya mutudlo,neutral,cebuano
cge lods,neutral,cebuano
wala na koy blema,neutral,cebuano
bad at discussion,negative,english
discussion is unclear,negative,english
not approachable,negative,english
keeps giving us reports to discuss without follow up discussion,negative,english
very complicated in discussing,negative,english
di kibaw mutudlo,negative,cebuano
way klaro mu discuss,negative,cebuano
dali2on pirmi ang klase,negative,cebuano
daghan pabuhat,negative,cebuano
way sudlanay klase,negative,cebuano
never gets late in class,positive,english
understandable discussion,positive,english
very approachable when I have concerns,positive,english
not very strict,positive,english
makes good examples to elaborate programming problems in real life situations,positive,english
maayo mutudlo,positive,cebuano
dili ma late sa klase,positive,cebuano
klaro ra mu discuss,positive,cebuano
di kaayo daghag ipabuhat,positive,cebuano
approachable ra og naa mi mga concern,positive,cebuano
i have no concerns about her way of teaching,neutral,english
no problems encountered so far,neutral,english
just cool with my concerns of her as a teacher,positive,english
"Im even-minded at state right now, nothing really to comment",neutral,english
"just about right, nothing much to comment here.",neutral,english
oks ra,neutral,cebuano
mada rag smile,neutral,cebuano
wala ra ko problema sa iyang pag handle,neutral,cebuano
okay ra mutudlo,neutral,cebuano
wala ra koy ma tell,neutral,cebuano
not that well at teaching,negative,english
not really outgoing with her students,negative,english
doesn't put interesting notions during discussion,negative,english
makes up boring classes sometimes,negative,english
her way of discussing makes it boring to listen the lesson,negative,english
duka makadalag discuss usahay,negative,cebuano
way klaro usahay inig discuss,negative,cebuano
usahay di masabtan,negative,cebuano
libog mu explain,negative,cebuano
di kaayo professional mudala sa iyang klase,negative,cebuano
dili klaro iyang tinudloan.,negative,cebuano
basta lang maka hatag og activities.,negative,cebuano
igo ra mudawat dili mo check sa activities.,negative,cebuano
dili kaayo tarong iya mga explanation.,negative,cebuano
gamay mo hatag grado,negative,cebuano
does not provide good instructions.,negative,english
gives a lot of activities,negative,english
not a good example as a teacher.,negative,english
does not give high grades,negative,english
he does not teach well and lazy,negative,english
sakto ra nga mestro,neutral,cebuano
way kurat nga maestro,neutral,cebuano
wala ra,neutral,cebuano
natural ra mo tudlo,neutral,cebuano
payts ra pag ka maestro,neutral,cebuano
I cannot really say that much.,neutral,english
no comment,neutral,english
average teacher,neutral,english
good person,positive,english
just leave it good,positive,english
mo consider ra bisan late basta naay reason,positive,cebuano
boutan nga maestro,positive,cebuano
maayo ra pagka tao,positive,cebuano
mo hatag advice,positive,cebuano
masinabtanon nga maestro,positive,cebuano
very considerate about deadlines,positive,english
great improvement,positive,english
thank you sir,positive,english
responsible as a teacher,positive,english
gives high grades,positive,english
bogo nga maestra,negative,cebuano
dili muabsent,positive,cebuano
she is like a teacher with no idea of what is happening in the class,negative,english
she is no good for us,negative,english
she has no idea of her lesson,negative,english